Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,13,8,Some Random Commen with Id 0
1,0,5,85,3,Some Random Commen with Id 1
2,0,5,55,1,Some Random Commen with Id 2
3,0,5,14,1,Some Random Commen with Id 3
4,0,5,109,9,Some Random Commen with Id 4
5,0,5,127,1,Some Random Commen with Id 5
6,0,5,44,1,Some Random Commen with Id 6
7,1,7,12,9,Some Random Commen with Id 7
8,1,7,107,9,Some Random Commen with Id 8
9,1,7,90,8,Some Random Commen with Id 9
10,2,1,136,6,Some Random Commen with Id 10
11,2,1,106,9,Some Random Commen with Id 11
12,2,1,76,2,Some Random Commen with Id 12
13,2,1,128,9,Some Random Commen with Id 13
14,3,6,18,0,Some Random Commen with Id 14
15,3,6,91,9,Some Random Commen with Id 15
16,3,6,160,8,Some Random Commen with Id 16
17,3,6,183,7,Some Random Commen with Id 17
18,3,6,128,9,Some Random Commen with Id 18
19,3,6,159,6,Some Random Commen with Id 19
20,5,1,14,0,Some Random Commen with Id 20
21,5,1,36,9,Some Random Commen with Id 21
22,5,1,115,5,Some Random Commen with Id 22
23,7,9,46,4,Some Random Commen with Id 23
24,7,9,155,3,Some Random Commen with Id 24
25,7,9,111,7,Some Random Commen with Id 25
26,7,9,91,7,Some Random Commen with Id 26
27,7,9,100,5,Some Random Commen with Id 27
28,7,9,112,8,Some Random Commen with Id 28
29,8,8,55,7,Some Random Commen with Id 29
30,8,8,104,3,Some Random Commen with Id 30
31,8,8,2,4,Some Random Commen with Id 31
32,8,8,118,2,Some Random Commen with Id 32
33,8,8,167,8,Some Random Commen with Id 33
34,9,4,171,3,Some Random Commen with Id 34
35,10,3,40,5,Some Random Commen with Id 35
36,10,3,54,7,Some Random Commen with Id 36
37,11,4,83,7,Some Random Commen with Id 37
38,12,8,172,7,Some Random Commen with Id 38
39,12,8,97,8,Some Random Commen with Id 39
40,12,8,177,3,Some Random Commen with Id 40
41,12,8,183,9,Some Random Commen with Id 41
42,12,8,1,8,Some Random Commen with Id 42
43,12,8,27,5,Some Random Commen with Id 43
44,13,3,91,1,Some Random Commen with Id 44
45,13,3,30,4,Some Random Commen with Id 45
46,13,3,166,2,Some Random Commen with Id 46
47,13,3,90,9,Some Random Commen with Id 47
48,13,3,118,6,Some Random Commen with Id 48
49,14,5,157,3,Some Random Commen with Id 49
50,14,5,85,6,Some Random Commen with Id 50
51,14,5,84,1,Some Random Commen with Id 51
52,15,0,95,6,Some Random Commen with Id 52
53,15,0,73,8,Some Random Commen with Id 53
54,15,0,108,1,Some Random Commen with Id 54
55,15,0,174,1,Some Random Commen with Id 55
56,15,0,138,0,Some Random Commen with Id 56
57,16,3,14,0,Some Random Commen with Id 57
58,16,3,69,6,Some Random Commen with Id 58
59,16,3,112,9,Some Random Commen with Id 59
60,16,3,167,5,Some Random Commen with Id 60
61,16,3,52,7,Some Random Commen with Id 61
62,16,3,82,4,Some Random Commen with Id 62
63,16,3,197,6,Some Random Commen with Id 63
64,16,3,140,9,Some Random Commen with Id 64
65,17,2,44,5,Some Random Commen with Id 65
66,18,6,60,5,Some Random Commen with Id 66
67,18,6,163,1,Some Random Commen with Id 67
68,18,6,101,7,Some Random Commen with Id 68
69,18,6,130,0,Some Random Commen with Id 69
70,18,6,98,6,Some Random Commen with Id 70
71,18,6,131,6,Some Random Commen with Id 71
72,18,6,94,6,Some Random Commen with Id 72
73,18,6,125,3,Some Random Commen with Id 73
74,18,6,10,1,Some Random Commen with Id 74
